X.1,"Maternal mortality rate"
Alabama,56.84362835
Alaska,
Arizona,41.06987012
Arkansas,52.82913944
California,9.74779367
Colorado,17.47446345
Connecticut,
Delaware,
"District of Columbia",
Florida,40.22935356
Georgia,49.16460471
Hawaii,
Idaho,
Illinois,31.01619651
Indiana,40.02701824
Iowa,43.43694855
Kansas,
Kentucky,34.47351285
Louisiana,60.93633024
Maine,
Maryland,29.2890093
Massachusetts,17.35684221
Michigan,19.05124786
Minnesota,21.73069461
Mississippi,82.48947548
Missouri,27.35662966
Montana,
Nebraska,
Nevada,29.68592294
"New Hampshire",
"New Jersey",30.54277466
"New Mexico",79.47267542
"New York",26.09826233
"North Carolina",43.99581625
"North Dakota",
Ohio,31.58924733
Oklahoma,47.51084487
Oregon,
Pennsylvania,21.86665862
"Rhode Island",
"South Carolina",43.71775815
"South Dakota",
Tennessee,62.41051434
Texas,43.89792127
Utah,27.8301079
Vermont,
Virginia,50.09131229
Washington,20.25956073
"West Virginia",
Wisconsin,19.42344734
Wyoming,
