                ,                                                                                             
 Abortion       , https://monqcle.com/upload/63cadb019cd360213f8b4572/download                                
 IVF            , https://libkey.io/libraries/1366/articles/543816031/full-text-file                          
 Breast         ,                                                                                             
 Mortality      , https://en.wikipedia.org/wiki/Maternal_mortality_in_the_United_States                       
 Poverty        , https://iwpr.org/wp-content/uploads/2021/05/Economic-Impact-of-Equal-Pay-by-State_FINAL.pdf 
 Homeless       ,                                                                                             
 Rape           ,                                                                                             
 Degrees        ,                                                                                             
 Pregnancy      , https://www.cdc.gov/nchs/data/databriefs/db21_table2.pdf                                    
 LifeExpectancy , https://data.cdc.gov/api/views/a5a8-jsrq/rows.csv?accessType=DOWNLOAD&bom=true&format=true  
 Happiness      , https://wallethub.com/edu/happiest-states/6959                                              
 Virginity      ,                                                                                             
 Period         ,                                                                                             
 Income         ,                                                                                             
 DVStat         ,                                                                                             
