State, Average Pregnacy Age
California,25.6
Maryland,26.1
Pennsylvania,25.5
Virginia,25.8
Alabama,23.6
Florida,25.0
Rhode Island,26.2
Nebraska,24.7
New Mexico,23.0
Wyoming,23.7
Minnesota,25.8
Mississippi,22.6
Arkansas,23.0
South Dakota,24.0
Hawaii,25.7
Louisiana,23.3
Ohio,24.7
New York,26.8
Massachusetts,27.7
Texas,23.9
Georgia,24.5
Maine,25.6
Washington,25.9
United States,25.0
North Carolina,24.6
Colorado,25.7
Indiana,24.0
Arizona,24.0
Kansas,24.2
New Hampshire,26.7
Wisconsin,25.3
Illinois,25.4
Oregon,25.4
District of Columbia,26.5
Michigan,25.0
Idaho,23.8
Alaska,24.3
Connecticut,27.2
Delaware,25.0
Nevada,24.6
West Virginia,23.9
South Carolina,24.0
Iowa,24.5
Kentucky,23.8
Vermont,26.5
Tennessee,24.0
New Jersey,27.2
North Dakota,24.7
Montana,24.5
Oklahoma,23.1
Missouri,24.1
Utah,23.9
